,count
1201,80
bin,188
joint,218
colloquium,52
alberto,10
cassese,1
naomi,5
kaplan,11
damary,1
hebrew,5
jerusalem,6
matthew,89
harding,15
economics,85
mar,159
vershynin,4
michigan,119
francesco,10
stingo,1
florence,16
sept,68
overview,759
handcock,2
emre,3
neftci,3
armin,7
schwartzman,1
hua,46
yuxiao,3
dept,255
phd,2304
edoardo,1
airoldi,1
assisted,73
experiments,405
platforms,141
valen,1
distinguished,694
contribute,243
reproducibility,6
esra,4
kurum,1
assistant,460
coefficient,14
outcomes,109
nicholas,22
polson,1
econometrics,8
deep,352
perspective,236
susan,34
paddock,1
senior,275
pardee,1
rand,6
groups,1268
examining,54
therapy,49
session,677
attendance,100
post,1954
depression,24
padhraic,77
smyth,128
eric,125
nalisnick,1
synthesis,80
juhee,1
santa,112
cruz,46
optimizing,109
natural,426
killer,17
cell,335
doses,3
heterogeneous,107
times,660
ivor,1
cribben,1
franks,2
barbara,80
dobra,2
seattle,52
mobility,51
contingency,4
tables,102
ana,21
kupresanin,1
lawrence,51
livermore,17
laboratory,300
computing,7495
diego,232
constructing,161
balanced,93
observational,46
insights,138
roadmap,30
kameryn,1
denaro,1
scientist,241
leveraging,111
enhance,131
discipline,53
merlise,1
clyde,4
erik,68
erhardt,1
visualizing,68
video,2080
postponed,1
mcculloch,1
mathematical,378
parsimony,1
utility,75
marina,21
vannucci,2
noah,23
rice,70
connectivity,182
graphs,2038
tuesday,255
ramses,1
mena,2
ch,226
vez,2
universidad,9
nacional,2
autonoma,1
decreasing,14
weights,138
nan,70
cognition,63
lexin,1
division,367
tensor,50
iv,82
fern,10
ndez,10
val,27
boston,121
panel,171
distribution,236
econ,6
stat,47
hashem,1
pesaran,1
southern,177
flegal,1
output,275
mcmc,39
subjective,69
jarad,1
niemi,1
iowa,26
fully,125
gang,29
dehan,2
kong,340
object,691
oriented,226
epidemic,7
wednesday,288
subhashis,1
ghosal,1
ncsu,2
coverage,68
credible,4
monotone,23
xin,118
tong,113
classification,607
lorin,1
crawford,4
pipeline,60
feature,1028
mapping,249
3d,517
shapes,273
jack,23
kalbfleisch,3
randomization,14
rerandomization,1
obsidian,6
security,2103
stephan,34
mandt,35
variational,28
tian,16
zheng,223
modulated,4
hawkes,1
sporadic,11
bursty,7
julia,23
palacios,1
tajima,114
coalescent,1
geoff,14
schiebinger,1
mit,185
appts,1
jianqing,1
farming,7
significant,312
important,1296
variables,242
00,2491
johndrow,1
fei,15
gao,91
xueying,1
tang,74
andee,1
yang,347
feng,238
veronica,30
barrocal,1
karen,33
messer,2
imputation,25
ronghui,2
competing,43
risks,62
dimension,219
ehr,18
demonstration,232
prostate,7
xihong,2
prior,346
construction,353
nian,3
cooperative,68
conditional,75
terminal,49
tailen,1
hsing,2
local,576
yehua,1
spatially,38
principal,59
component,255
kriging,1
40,683
obj,141
endobj,141
58,786
filter,752
flatedecode,16
id,430
06bdad8ef973a641bd5b6b837ca1cff8,2
81779766ad774042a1406179b92f2018,2
index,747
info,715
39,796
length,580
94,419
prev,41
112372,1
root,385
41,523
size,829
69,693
xref,12
stream,279
bbd,6
y0y,1
endstream,123
startxref,12
eof,52
68,760
jc,89
yl,56
tb,79
xl,204
metadata,496
pagelayout,6
onecolumn,6
pages,1825
38,677
structtreeroot,6
catalog,30
42,599
rotate,32
structparents,6
tabs,12
page,4622
43,530
tce,1
tlb,1
a4hpb,1
mke9,1
cd,173
qm9r,1
btk4q,1
dx,73
h0,49
wq,98
zpe,1
fd,61
mnm,1
xzw6,1
jp,55
t5,32
hm,79
zy,90
6z,39
ir4,1
ol,74
0y9,1
yno,2
sw,81
lk,77
wi,125
r9,46
jy,46
hs,76
ze,93
bs,104
yc,63
x4y,1
cl6,1
ig,62
bg,83
rk,54
t0,10
m7,54
wc,72
bt,46
fe,92
uo,63
vs,153
l9,41
dv,59
ugkf,1
sf,77
j2,29
37,842
qaa,1
jf,59
mp,82
xe,85
kn,69
xc,87
oo,78
oek,1
jm,51
qeki,1
saq,1
rl,72
nb,74
i7,39
pq,58
8q,30
xug,1
zfe,1
hei,1
4g,29
dnb,1
rg,80
lm,96
po,74
s9,46
xd,56
7ne,1
pp,1941
ado,5
wg,97
nr,81
ilm,3
aq,68
jx,66
c6,28
2w,32
3w,47
owu,1
ns0,1
os,1066
bz,62
fhwbk,1
0y,29
wz,77
vqv,1
h11,1
sh,136
ii,329
bb,61
ejt,1
2j,26
t9,30
cfgq2,1
av,69
vv,103
ulr,1
ocm,3
a9,66
vo8l,1
wl,70
p5,35
2xyy,1
sg,97
38qbqu,1
biy,1
sm,87
ds,261
xy,93
ue,67
sx,57
mz,67
qv,82
wr,52
nc,113
fm,81
t3,31
sn,137
ka,68
ku,71
45,839
kr,80
x4,35
08,5006
af,33
wb,52
vy,78
f4,24
en,268
7g,40
0g,20
zl,82
eu,63
c6m,1
6ze,1
2g,35
yb,61
gs,97
9lyx,1
8u,30
jts,2
qyg,1
tc,104
iw,53
gz,194
vt,51
xw,92
wn,39
ij,50
egr,1
mv,82
8xg,1
zp,43
rx,52
ms,400
hl,75
9c,61
e6,26
wj,72
io,121
inm,1
46,670
ir,82
ri,65
bh,42
br,80
d2mo,1
e4,35
ps,1020
hq,48
oa7,1
es,72
zob,2
6u,39
gx,74
h7,30
pnj,1
rv,48
4e,25
ze4,1
ss,89
qls,1
psnn,1
l1e,1
hb,80
u3,30
zo,78
xtw,1
iy,88
szm,2
q1,49
ee,79
sxm,1
47,760
0a,32
hnf,1
ap,85
mn,92
86ye,1
ca,895
n8,20
o1b,1
0euf,1
te,70
pm,1385
1s,37
4g3f,1
ruk,1
7xa,1
fa,85
qb,76
j4z,1
m6n2,1
ea,149
pc,313
ti,93
wa,112
xs,65
uz,63
z7,36
twr,2
vem,1
mgs,2
hk,63
5j,35
c2a,1
xo,113
bif8,1
cipb,1
14o,1
0h,33
rcb,1
yv,77
cc,462
t5d,1
48,1456
mr,350
ju,83
vw,87
ls,91
rio,28
fqp,1
kh,72
v3t,3
z3,45
xms,3
tw,49
8i,21
ne,91
ff,99
ld,55
hjy,1
4k,123
fw,58
vf6,2
oxkp,1
6e,39
ks,76
5v,38
2xf,3
2h,43
1a,50
hpw,1
sdl,2
h4,90
gp,82
qp,62
5l,23
pl83,1
cz,62
pthu,1
cs,1412
6am,2
2l,41
qi,139
qq,70
dcj,1
4j,31
zu,103
cr,100
i2,33
t4,33
2q,27
bwv,3
51,1046
uu8,1
la,236
qk,67
ma,267
pz,44
ou,83
vk,66
5z3,1
qt,49
l5,27
il,145
57,1229
qx,57
vz,68
52,1490
3c,90
1x,32
hbgl,1
lc,82
fdc,1
gw30,1
6zxlb,1
ni1,1
6f,37
iz,64
atu,1
ww,102
3j,37
m8,35
b4,30
cb,72
4i,44
5o,45
6m,50
oi,63
1rt,1
6n,29
8w,71
mh,51
2e,51
zic,3
4c,55
sy,116
yx3,1
ux,108
r0,26
tl,61
m9,36
d8pe,1
2zn,2
zmk,3
bki,1
6q,32
k4,46
ct,105
6c,60
tf,63
pcz,1
uj,68
2d,231
nv,67
a41,1
1f,30
da,117
g2,49
y5,39
wt,67
zq,44
1z,60
zc,65
q2,33
gq,76
hqt,2
px,48
qsn,1
y8,37
hj,49
hp,67
8m,34
ach,4
ud,63
z2i,1
ep,63
pcy,1
fs,78
jlm,1
zr,56
ej,55
sd,193
3u,37
r7,39
w6,47
sj,65
5h,38
q4,46
sa,73
2x,35
1ul,1
l1w,4
qw,74
b5,29
dc,195
pv,49
d7,22
bm,68
9qn,1
gd,237
xq,44
x5,35
ts,74
x7,51
yi,204
uf,58
ab0,2
iav,1
9l,32
jw,56
87tk,1
4z,36
vd,56
356b,1
mvs,2
t7,38
mw3,2
l7,50
9n,54
tu,174
idsd,2
eh,68
e9,43
ro,66
dj,71
p7,32
5z,38
p9l,3
j3,31
jca,2
vq6,1
zck,2
3zg,1
mu3,62
ktg,3
da7,1
st,193
yq,55
mj,62
gm,77
ho,275
jq,53
45d,1
5p,38
ru1e,1
y2qmr,1
2ke,1
4se,1
fv,35
bf,61
cbtcf,1
bu,87
1g,48
md,125
1y,36
ev,62
5f,23
yo6,1
2y,37
2u,40
5a,37
imbm,1
b0,36
6a,52
n0,33
7ts,1
a0,25
6p,34
oc,99
0s,53
bo,150
sl,75
mi,88
kx,72
ry,83
dt,56
vq,71
b1,69
gvv,3
lu,256
7v,36
mq,94
rv3,1
qz,70
fx,47
o7,48
wnpg,1
skt,2
wh,77
mla,65
pw,80
d9,53
ctu,3
kgg,1
5wwg,1
ys,65
mu8,1
ze46vk,1
tj,60
uto,1
dw,38
uxy2,1
mt,101
z6z,1
cn,100
djpq,1
gh,68
m1,52
sc,130
ky,82
vrxx,1
t1,66
xh,49
fhl,1
i1,34
mi97a,1
dst,4
ns,132
3k,111
vc,94
s1,56
8no,1
1b,32
gg,70
4sl,1
pey,2
et,312
pj,41
4o,35
mb,621
vo,67
im,105
fw0dab,1
zuxi,1
o3,35
laa,1
b8,19
fl,94
cv,438
wgwg,1
owxl0,1
j1,29
jl,49
ja,52
bi,89
cnux,1
upj,2
e0op,1
ftf,1
r6,36
obc,2
9r,37
ly,69
wp7,1
i9,30
cx,87
oy,78
zn,44
iu,65
dg,58
65,809
yfs,1
vx,77
nh,73
fk,62
5y,37
w7,28
jx5,1
04,2327
zz,69
bhck,1
tt,58
xg,96
op,84
qo,90
py,617
aa8,1
lhv,1
pt,91
ei,59
qd,63
ft,40
uq,65
k3,47
cs8xi,1
5g,34
4m,35
du,122
gu,122
1rv,1
sxzz,1
mo,113
ejb,4
u1,37
jj,75
tpa,1
n6,44
nxos,1
uze,1
o6,30
erv,3
o5,41
kf,64
l6i,1
fc,93
vuj,1
qm,74
bw,77
yoh0,1
v4m,1
pf,68
0ky,1
3q,45
ah,52
fbk,1
y0,46
ye,168
wp,120
h2,44
i5,30
htt,1
icw,2
th,166
u5,20
ur,109
ut,68
dz,77
l6,44
i0,25
vh,56
hu,149
lw,63
mg,95
lx,50
t6,33
rcpo,1
5ww,1
qtmb,1
nq,70
p3r,2
5w,34
5i,36
r5,27
8t,28
fb,84
di,144
cy,92
ksai,1
9u,36
p26,1
pn,68
y1,86
qu,128
qc,95
wv,59
3a,44
b15,1
j6,23
d4,33
p0,21
ozfa,1
7fz,1
kc,80
ce,90
pkk,2
h9,27
kd,98
l1nj,1
s0,38
1v,45
fs6,2
sr,87
w4,35
p2,29
f2,26
epac,1
sp,103
qn,59
uvut,1
ukk,1
s7qe,1
o766,1
0x7,1
e3s,1
p8,37
b2,76
uu,80
ln5,1
l6d,3
9lnd,1
mk,71
8fx,1
qind,1
xx,49
dn,72
zv,56
4qup,1
j5d,1
1ri,4
5oy,1
5n,53
2c,56
pcs,7
doh,3
0o,40
h1,28
nl,89
ty,92
5ak,3
i4,43
0x,33
dny,2
4t,14
ey,82
tz,59
szl,3
80,636
nk,98
omy,1
w2,41
fp,50
jpu4,1
ci,63
sif,36
ay,92
7t,44
kt,92
v3,111
4uj,1
qfz,1
ow,103
xk,71
ozb,1
bj,64
k6,29
mu,425
hc,51
ra,81
lbp,1
sdd,1
iid,5
bsa,1
1c,42
49,593
ih3,1
